Complexity metrics,Sun, 23 Jun 2019 13:42:38 EDT
Method,ev(G),iv(G),LOC,V,v(G)
"org.jfree.chart.ChartFactory.createXYAreaChart(String,String,String,XYDataset)",1,1,22,41,1
"org.jfree.chart.ChartFactory.createXYAreaChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",1,1,45,262,3
"org.jfree.chart.ChartFactory.createXYBarChart(String,String,boolean,String,IntervalXYDataset)",1,1,23,51,1
"org.jfree.chart.ChartFactory.createXYBarChart(String,String,boolean,String,IntervalXYDataset,PlotOrientation,boolean,boolean,boolean)",1,5,57,305,5
"org.jfree.chart.ChartFactory.createXYLineChart(String,String,String,XYDataset)",1,1,16,41,1
"org.jfree.chart.ChartFactory.createXYLineChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",1,3,37,225,3
"org.jfree.chart.ChartFactory.createXYStepAreaChart(String,String,String,XYDataset)",1,1,17,41,1
"org.jfree.chart.ChartFactory.createXYStepAreaChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",1,1,44,284,3
"org.jfree.chart.ChartFactory.createXYStepChart(String,String,String,XYDataset)",1,1,17,41,1
"org.jfree.chart.ChartFactory.createXYStepChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",1,1,42,279,3
"org.jfree.chart.ChartFactory.getChartTheme()",1,1,13,8,1
"org.jfree.chart.ChartFactory.setChartTheme(ChartTheme)",1,3,28,106,3
"org.jfree.chart.ChartFrame.ChartFrame(String,JFreeChart)",1,1,9,15,1
"org.jfree.chart.ChartFrame.ChartFrame(String,JFreeChart,boolean)",1,2,19,88,2
"org.jfree.chart.ChartFrame.getChartPanel()",1,1,8,8,1
"org.jfree.chart.ChartHints.ChartHints()",1,1,3,0,1
"org.jfree.chart.ChartHints.Key.Key(int)",1,1,8,11,1
"org.jfree.chart.ChartHints.Key.isCompatibleValue(Object)",4,2,20,110,7
"org.jfree.chart.ChartMouseEvent.ChartMouseEvent(JFreeChart,MouseEvent,ChartEntity)",1,1,16,43,1
"org.jfree.chart.ChartMouseEvent.getChart()",1,1,8,8,1
"org.jfree.chart.ChartMouseEvent.getEntity()",1,1,8,8,1
"org.jfree.chart.ChartMouseEvent.getTrigger()",1,1,8,8,1
"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart)",1,1,17,57,1
"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,boolean)",1,1,27,62,1
"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,boolean,boolean,boolean,boolean,boolean)",1,1,22,85,1
"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,int,int,int,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean)",1,1,32,123,1
"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,int,int,int,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean,boolean)",1,2,74,747,7
"org.jfree.chart.ChartPanel.actionPerformed(ActionEvent)",1,19,76,843,19
"org.jfree.chart.ChartPanel.addChartMouseListener(ChartMouseListener)",1,1,9,31,1
"org.jfree.chart.ChartPanel.addOverlay(Overlay)",1,1,13,43,1
"org.jfree.chart.ChartPanel.chartChanged(ChartChangeEvent)",1,2,15,64,2
"org.jfree.chart.ChartPanel.chartProgress(ChartProgressEvent)",1,1,9,2,1
"org.jfree.chart.ChartPanel.createChartPrintJob()",1,4,19,108,4
"org.jfree.chart.ChartPanel.createPopupMenu(boolean,boolean,boolean,boolean)",1,1,17,38,1
"org.jfree.chart.ChartPanel.createPopupMenu(boolean,boolean,boolean,boolean,boolean)",1,12,148,"2,068",12
"org.jfree.chart.ChartPanel.createSVGGraphics2D(int,int)",1,1,21,148,8
"org.jfree.chart.ChartPanel.displayPopupMenu(int,int)",2,12,53,641,16
"org.jfree.chart.ChartPanel.doCopy()",1,1,16,147,1
"org.jfree.chart.ChartPanel.doEditChartProperties()",1,2,15,91,2
"org.jfree.chart.ChartPanel.doSaveAs()",1,3,25,242,4
"org.jfree.chart.ChartPanel.drawZoomRectangle(Graphics2D,boolean)",1,5,30,159,5
"org.jfree.chart.ChartPanel.generateSVG(int,int)",2,1,36,213,7
"org.jfree.chart.ChartPanel.getAnchor()",1,1,8,8,1
"org.jfree.chart.ChartPanel.getChart()",1,1,8,8,1
"org.jfree.chart.ChartPanel.getChartRenderingInfo()",1,1,8,8,1
"org.jfree.chart.ChartPanel.getDefaultDirectoryForSaveAs()",1,1,10,8,1
"org.jfree.chart.ChartPanel.getDismissDelay()",1,1,11,11,1
"org.jfree.chart.ChartPanel.getEntityForPoint(int,int)",1,3,22,185,3
"org.jfree.chart.ChartPanel.getFillZoomRectangle()",1,1,9,11,1
"org.jfree.chart.ChartPanel.getInitialDelay()",1,1,10,11,1
"org.jfree.chart.ChartPanel.getListeners(Class)",2,2,18,53,2
"org.jfree.chart.ChartPanel.getMaximumDrawHeight()",1,1,11,11,1
"org.jfree.chart.ChartPanel.getMaximumDrawWidth()",1,1,11,11,1
"org.jfree.chart.ChartPanel.getMinimumDrawHeight()",1,1,11,11,1
"org.jfree.chart.ChartPanel.getMinimumDrawWidth()",1,1,11,11,1
"org.jfree.chart.ChartPanel.getPointInRectangle(int,int,Rectangle2D)",1,1,15,92,1
"org.jfree.chart.ChartPanel.getPopupMenu()",1,1,8,8,1
"org.jfree.chart.ChartPanel.getRefreshBuffer()",1,1,9,11,1
"org.jfree.chart.ChartPanel.getReshowDelay()",1,1,10,11,1
"org.jfree.chart.ChartPanel.getScaleX()",1,1,9,11,1
"org.jfree.chart.ChartPanel.getScaleY()",1,1,9,11,1
"org.jfree.chart.ChartPanel.getScreenDataArea()",1,1,15,195,1
"org.jfree.chart.ChartPanel.getScreenDataArea(int,int)",3,2,27,175,3
"org.jfree.chart.ChartPanel.getToolTipText(MouseEvent)",1,4,24,204,4
"org.jfree.chart.ChartPanel.getZoomAroundAnchor()",1,1,13,13,1
"org.jfree.chart.ChartPanel.getZoomFillPaint()",1,1,13,11,1
"org.jfree.chart.ChartPanel.getZoomInFactor()",1,1,10,13,1
"org.jfree.chart.ChartPanel.getZoomOutFactor()",1,1,10,13,1
"org.jfree.chart.ChartPanel.getZoomOutlinePaint()",1,1,13,11,1
"org.jfree.chart.ChartPanel.getZoomTriggerDistance()",1,1,9,11,1
"org.jfree.chart.ChartPanel.isDomainZoomable()",1,1,9,11,1
"org.jfree.chart.ChartPanel.isEnforceFileExtensions()",1,1,11,13,1
"org.jfree.chart.ChartPanel.isMouseWheelEnabled()",1,1,11,19,1
"org.jfree.chart.ChartPanel.isRangeZoomable()",1,1,9,11,1
"org.jfree.chart.ChartPanel.mouseClicked(MouseEvent)",3,4,35,466,6
"org.jfree.chart.ChartPanel.mouseDragged(MouseEvent)",5,9,93,"1,533",15
"org.jfree.chart.ChartPanel.mouseEntered(MouseEvent)",1,2,20,149,2
"org.jfree.chart.ChartPanel.mouseExited(MouseEvent)",1,2,18,79,2
"org.jfree.chart.ChartPanel.mouseMoved(MouseEvent)",2,5,33,428,6
"org.jfree.chart.ChartPanel.mousePressed(MouseEvent)",2,11,51,551,12
"org.jfree.chart.ChartPanel.mouseReleased(MouseEvent)",1,15,92,"1,353",17
"org.jfree.chart.ChartPanel.overlayChanged(OverlayChangeEvent)",1,1,11,4,1
"org.jfree.chart.ChartPanel.paintComponent(Graphics)",2,9,115,"1,860",14
"org.jfree.chart.ChartPanel.print(Graphics,PageFormat,int)",2,1,24,171,2
"org.jfree.chart.ChartPanel.readObject(ObjectInputStream)",1,2,20,100,2
"org.jfree.chart.ChartPanel.removeChartMouseListener(ChartMouseListener)",1,1,9,19,1
"org.jfree.chart.ChartPanel.removeOverlay(Overlay)",1,2,15,59,2
"org.jfree.chart.ChartPanel.restoreAutoBounds()",2,1,17,85,2
"org.jfree.chart.ChartPanel.restoreAutoDomainBounds()",1,2,19,144,3
"org.jfree.chart.ChartPanel.restoreAutoRangeBounds()",1,2,19,144,3
"org.jfree.chart.ChartPanel.saveAsPDF(File)",1,6,41,412,8
"org.jfree.chart.ChartPanel.saveAsSVG(File)",2,7,57,603,10
"org.jfree.chart.ChartPanel.scale(Rectangle2D)",1,1,16,149,1
"org.jfree.chart.ChartPanel.setAnchor(Point2D)",1,1,9,11,1
"org.jfree.chart.ChartPanel.setChart(JFreeChart)",1,4,35,326,5
"org.jfree.chart.ChartPanel.setDefaultDirectoryForSaveAs(File)",3,2,17,59,3
"org.jfree.chart.ChartPanel.setDismissDelay(int)",1,1,11,18,1
"org.jfree.chart.ChartPanel.setDisplayToolTips(boolean)",1,2,16,39,2
"org.jfree.chart.ChartPanel.setDomainZoomable(boolean)",1,4,19,88,4
"org.jfree.chart.ChartPanel.setEnforceFileExtensions(boolean)",1,1,10,15,1
"org.jfree.chart.ChartPanel.setFillZoomRectangle(boolean)",1,1,9,15,1
"org.jfree.chart.ChartPanel.setInitialDelay(int)",1,1,11,18,1
"org.jfree.chart.ChartPanel.setMaximumDrawHeight(int)",1,1,12,15,1
"org.jfree.chart.ChartPanel.setMaximumDrawWidth(int)",1,1,12,15,1
"org.jfree.chart.ChartPanel.setMinimumDrawHeight(int)",1,1,12,15,1
"org.jfree.chart.ChartPanel.setMinimumDrawWidth(int)",1,1,12,15,1
"org.jfree.chart.ChartPanel.setMouseWheelEnabled(boolean)",1,3,16,117,5
"org.jfree.chart.ChartPanel.setMouseZoomable(boolean)",1,1,9,15,1
"org.jfree.chart.ChartPanel.setMouseZoomable(boolean,boolean)",1,1,12,30,1
"org.jfree.chart.ChartPanel.setPopupMenu(JPopupMenu)",1,1,8,11,1
"org.jfree.chart.ChartPanel.setRangeZoomable(boolean)",1,4,17,88,4
"org.jfree.chart.ChartPanel.setRefreshBuffer(boolean)",1,1,10,15,1
"org.jfree.chart.ChartPanel.setReshowDelay(int)",1,1,11,18,1
"org.jfree.chart.ChartPanel.setZoomAroundAnchor(boolean)",1,1,13,15,1
"org.jfree.chart.ChartPanel.setZoomFillPaint(Paint)",1,1,14,22,1
"org.jfree.chart.ChartPanel.setZoomInFactor(double)",1,1,10,15,1
"org.jfree.chart.ChartPanel.setZoomOutFactor(double)",1,1,10,15,1
"org.jfree.chart.ChartPanel.setZoomOutlinePaint(Paint)",1,1,13,11,1
"org.jfree.chart.ChartPanel.setZoomTriggerDistance(int)",1,1,9,15,1
"org.jfree.chart.ChartPanel.translateJava2DToScreen(Point2D)",1,1,13,108,1
"org.jfree.chart.ChartPanel.translateScreenToJava2D(Point)",1,1,14,100,1
"org.jfree.chart.ChartPanel.updateUI()",1,2,12,39,2
"org.jfree.chart.ChartPanel.writeAsPDF(File,int,int)",2,1,47,466,9
"org.jfree.chart.ChartPanel.writeObject(ObjectOutputStream)",1,1,12,41,1
"org.jfree.chart.ChartPanel.zoom(Rectangle2D)",1,5,43,646,5
"org.jfree.chart.ChartPanel.zoomInBoth(double,double)",2,1,20,116,2
"org.jfree.chart.ChartPanel.zoomInDomain(double,double)",1,2,23,162,2
"org.jfree.chart.ChartPanel.zoomInRange(double,double)",1,2,23,162,2
"org.jfree.chart.ChartPanel.zoomOutBoth(double,double)",2,1,20,116,2
"org.jfree.chart.ChartPanel.zoomOutDomain(double,double)",1,2,23,162,2
"org.jfree.chart.ChartPanel.zoomOutRange(double,double)",1,2,23,162,2
"org.jfree.chart.ChartPanelTest.chartChanged(ChartChangeEvent)",1,1,10,15,1
"org.jfree.chart.ChartPanelTest.chartMouseClicked(ChartMouseEvent)",1,1,9,2,1
"org.jfree.chart.ChartPanelTest.chartMouseMoved(ChartMouseEvent)",1,1,9,2,1
"org.jfree.chart.ChartPanelTest.test2502355_restoreAutoBounds()",1,1,15,116,1
"org.jfree.chart.ChartPanelTest.test2502355_restoreAutoDomainBounds()",1,1,17,155,1
"org.jfree.chart.ChartPanelTest.test2502355_restoreAutoRangeBounds()",1,1,17,155,1
"org.jfree.chart.ChartPanelTest.test2502355_zoom()",1,1,15,146,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomInBoth()",1,1,15,129,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomInDomain()",1,1,17,169,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomInRange()",1,1,17,169,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomOutBoth()",1,1,15,129,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomOutDomain()",1,1,17,169,1
"org.jfree.chart.ChartPanelTest.test2502355_zoomOutRange()",1,1,17,169,1
"org.jfree.chart.ChartPanelTest.testConstructor1()",1,1,8,22,1
"org.jfree.chart.ChartPanelTest.testGetListeners()",1,1,35,275,3
"org.jfree.chart.ChartPanelTest.testSetChart()",1,1,10,41,1
"org.jfree.chart.ChartPanelTest.testSetMouseWheelEnabled()",1,1,17,130,1
"org.jfree.chart.ChartRenderingInfo.ChartRenderingInfo()",1,1,7,8,1
"org.jfree.chart.ChartRenderingInfo.ChartRenderingInfo(EntityCollection)",1,1,13,30,1
"org.jfree.chart.ChartRenderingInfo.clear()",1,2,10,77,2
"org.jfree.chart.ChartRenderingInfo.clone()",1,3,19,108,3
"org.jfree.chart.ChartRenderingInfo.equals(Object)",6,1,27,186,6
"org.jfree.chart.ChartRenderingInfo.getChartArea()",1,1,10,8,1
"org.jfree.chart.ChartRenderingInfo.getEntityCollection()",1,1,10,8,1
"org.jfree.chart.ChartRenderingInfo.getPlotInfo()",1,1,8,8,1
"org.jfree.chart.ChartRenderingInfo.readObject(ObjectInputStream)",1,1,13,26,1
"org.jfree.chart.ChartRenderingInfo.setChartArea(Rectangle2D)",1,1,10,15,1
"org.jfree.chart.ChartRenderingInfo.setEntityCollection(EntityCollection)",1,1,10,11,1
"org.jfree.chart.ChartRenderingInfo.writeObject(ObjectOutputStream)",1,1,11,26,1
"org.jfree.chart.ChartRenderingInfoTest.testCloning()",1,1,23,284,1
"org.jfree.chart.ChartRenderingInfoTest.testEquals()",1,1,24,357,1
"org.jfree.chart.ChartRenderingInfoTest.testSerialization()",1,1,10,53,1
"org.jfree.chart.ChartRenderingInfoTest.testSerialization2()",1,1,12,79,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart,int,int)",1,1,10,26,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart,int,int,boolean)",1,1,13,48,1
"org.jfree.chart.ChartTransferable.ChartTransferable(JFreeChart,int,int,int,int,int,int,boolean)",1,1,37,153,2
"org.jfree.chart.ChartTransferable.createBufferedImage(JFreeChart,int,int,int,int,int,int)",1,2,57,503,6
"org.jfree.chart.ChartTransferable.getTransferData(DataFlavor)",2,2,22,114,2
"org.jfree.chart.ChartTransferable.getTransferDataFlavors()",1,1,9,11,1
"org.jfree.chart.ChartTransferable.isDataFlavorSupported(DataFlavor)",1,1,11,19,1
"org.jfree.chart.ChartUtils.applyCurrentTheme(JFreeChart)",1,1,12,15,1
"org.jfree.chart.ChartUtils.encodeAsPNG(BufferedImage)",1,1,12,24,1
"org.jfree.chart.ChartUtils.encodeAsPNG(BufferedImage,boolean,int)",1,1,16,43,1
"org.jfree.chart.ChartUtils.getImageMap(String,ChartRenderingInfo)",1,1,16,22,1
"org.jfree.chart.ChartUtils.getImageMap(String,ChartRenderingInfo,ToolTipTagFragmentGenerator,URLTagFragmentGenerator)",1,1,22,24,1
"org.jfree.chart.ChartUtils.isJFreeSVGAvailable()",1,1,18,44,2
"org.jfree.chart.ChartUtils.isOrsonPDFAvailable()",1,1,18,44,2
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File,JFreeChart,int,int)",1,1,15,41,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File,JFreeChart,int,int,ChartRenderingInfo)",1,1,26,106,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File,float,JFreeChart,int,int)",1,1,16,51,1
"org.jfree.chart.ChartUtils.saveChartAsJPEG(File,float,JFreeChart,int,int,ChartRenderingInfo)",1,1,29,118,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File,JFreeChart,int,int)",1,1,15,41,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File,JFreeChart,int,int,ChartRenderingInfo)",1,1,26,91,1
"org.jfree.chart.ChartUtils.saveChartAsPNG(File,JFreeChart,int,int,ChartRenderingInfo,boolean,int)",1,1,30,129,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsJPEG(OutputStream,BufferedImage)",1,1,13,24,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsJPEG(OutputStream,float,BufferedImage)",1,1,13,33,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsPNG(OutputStream,BufferedImage)",1,1,12,24,1
"org.jfree.chart.ChartUtils.writeBufferedImageAsPNG(OutputStream,BufferedImage,boolean,int)",1,1,16,43,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream,JFreeChart,int,int)",1,1,16,41,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream,JFreeChart,int,int,ChartRenderingInfo)",1,1,23,91,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream,float,JFreeChart,int,int)",1,1,18,51,1
"org.jfree.chart.ChartUtils.writeChartAsJPEG(OutputStream,float,JFreeChart,int,int,ChartRenderingInfo)",1,1,24,103,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream,JFreeChart,int,int)",1,1,15,41,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream,JFreeChart,int,int,ChartRenderingInfo)",1,1,22,72,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream,JFreeChart,int,int,ChartRenderingInfo,boolean,int)",1,1,27,108,1
"org.jfree.chart.ChartUtils.writeChartAsPNG(OutputStream,JFreeChart,int,int,boolean,int)",1,1,19,60,1
"org.jfree.chart.ChartUtils.writeImageMap(PrintWriter,String,ChartRenderingInfo,ToolTipTagFragmentGenerator,URLTagFragmentGenerator)",1,1,23,38,1
"org.jfree.chart.ChartUtils.writeImageMap(PrintWriter,String,ChartRenderingInfo,boolean)",1,1,27,68,2
"org.jfree.chart.ChartUtils.writeScaledChartAsPNG(OutputStream,JFreeChart,int,int,int,int)",1,2,45,519,4
"org.jfree.chart.GanttChartTest.LocalListener.chartChanged(ChartChangeEvent)",1,1,9,11,1
"org.jfree.chart.GanttChartTest.createDataset()",1,1,85,"1,881",1
"org.jfree.chart.GanttChartTest.createGanttChart()",1,1,15,34,1
"org.jfree.chart.GanttChartTest.date(int,int,int)",1,1,15,53,1
"org.jfree.chart.GanttChartTest.setUp()",1,1,7,11,1
"org.jfree.chart.GanttChartTest.testDrawWithNullInfo()",1,2,18,106,2
"org.jfree.chart.GanttChartTest.testDrawWithNullInfo2()",1,1,12,46,1
"org.jfree.chart.GanttChartTest.testReplaceDataset()",1,1,11,64,1
"org.jfree.chart.GanttChartTest.testSetSeriesToolTipGenerator()",1,1,14,74,1
"org.jfree.chart.GanttChartTest.testSetSeriesURLGenerator()",1,1,14,74,1
"org.jfree.chart.HashUtils.hashCode(int,BooleanList)",2,4,35,273,5
"org.jfree.chart.HashUtils.hashCode(int,Comparable)",1,2,15,64,2
"org.jfree.chart.HashUtils.hashCode(int,Object)",1,2,15,64,2
"org.jfree.chart.HashUtils.hashCode(int,Paint)",1,1,13,36,1
"org.jfree.chart.HashUtils.hashCode(int,PaintList)",2,4,35,273,5
"org.jfree.chart.HashUtils.hashCode(int,String)",1,2,14,64,2
"org.jfree.chart.HashUtils.hashCode(int,Stroke)",1,2,14,64,2
"org.jfree.chart.HashUtils.hashCode(int,StrokeList)",2,4,35,273,5
"org.jfree.chart.HashUtils.hashCode(int,boolean)",1,1,14,46,2
"org.jfree.chart.HashUtils.hashCode(int,double)",1,1,15,76,1
"org.jfree.chart.HashUtils.hashCode(int,int)",1,1,14,34,1
"org.jfree.chart.HashUtils.hashCodeForDoubleArray(double[])",2,2,20,183,3
"org.jfree.chart.HashUtils.hashCodeForPaint(Paint)",2,2,30,247,3
"org.jfree.chart.HashUtilsTest.testHashCodeForDoubleArray()",1,1,14,126,1
"org.jfree.chart.JFreeChart.JFreeChart(Plot)",1,1,14,18,1
"org.jfree.chart.JFreeChart.JFreeChart(String,Font,Plot,boolean)",1,3,63,627,4
"org.jfree.chart.JFreeChart.JFreeChart(String,Plot)",1,1,15,19,1
"org.jfree.chart.JFreeChart.addChangeListener(ChartChangeListener)",1,1,11,31,1
"org.jfree.chart.JFreeChart.addLegend(LegendTitle)",1,1,11,8,1
"org.jfree.chart.JFreeChart.addProgressListener(ChartProgressListener)",1,1,11,19,1
"org.jfree.chart.JFreeChart.addSubtitle(Title)",1,1,14,48,1
"org.jfree.chart.JFreeChart.addSubtitle(int,Title)",2,2,19,114,3
"org.jfree.chart.JFreeChart.clearSubtitles()",1,2,13,38,2
"org.jfree.chart.JFreeChart.clone()",1,4,33,341,4
"org.jfree.chart.JFreeChart.createAlignedRectangle2D(Size2D,Rectangle2D,HorizontalAlignment,VerticalAlignment)",1,7,36,371,7
"org.jfree.chart.JFreeChart.createBufferedImage(int,int)",1,1,11,22,1
"org.jfree.chart.JFreeChart.createBufferedImage(int,int,ChartRenderingInfo)",1,1,15,26,1
"org.jfree.chart.JFreeChart.createBufferedImage(int,int,double,double,ChartRenderingInfo)",1,1,31,174,1
"org.jfree.chart.JFreeChart.createBufferedImage(int,int,int,ChartRenderingInfo)",1,1,19,89,1
