Complexity metrics,Sun, 23 Jun 2019 17:35:44 EDT
Method,ev(G),iv(G),LOC,V,v(G)
"org.apache.commons.io.DemuxTestCase.startReader(String,String,DemuxInputStream)",1,1,9,50,1
"org.apache.commons.io.DemuxTestCase.startWriter(String,String,DemuxOutputStream)",1,1,11,60,1
"org.apache.commons.io.DemuxTestCase.testInputStream()",1,1,16,187,1
"org.apache.commons.io.DemuxTestCase.testOutputStream()",1,1,16,187,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(File,int)",1,1,10,19,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(String,File,int)",1,1,14,36,1
"org.apache.commons.io.DirectoryWalker.CancelException.getDepth()",1,1,8,8,1
"org.apache.commons.io.DirectoryWalker.CancelException.getFile()",1,1,8,4,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker()",1,1,6,15,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(FileFilter,int)",1,1,16,22,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(IOFileFilter,IOFileFilter,int)",1,2,26,166,5
"org.apache.commons.io.DirectoryWalker.checkIfCancelled(File,int,Collection<T>)",2,1,19,50,2
"org.apache.commons.io.DirectoryWalker.filterDirectoryContents(File,int,File[])",1,1,15,11,1
"org.apache.commons.io.DirectoryWalker.handleCancelled(File,Collection<T>,CancelException)",1,1,18,11,1
"org.apache.commons.io.DirectoryWalker.handleDirectory(File,int,Collection<T>)",1,1,19,15,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryEnd(File,int,Collection<T>)",1,1,13,8,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryStart(File,int,Collection<T>)",1,1,13,8,1
"org.apache.commons.io.DirectoryWalker.handleEnd(Collection<T>)",1,1,11,4,1
"org.apache.commons.io.DirectoryWalker.handleFile(File,int,Collection<T>)",1,1,13,8,1
"org.apache.commons.io.DirectoryWalker.handleIsCancelled(File,int,Collection<T>)",1,1,40,15,1
"org.apache.commons.io.DirectoryWalker.handleRestricted(File,int,Collection<T>)",1,1,13,8,1
"org.apache.commons.io.DirectoryWalker.handleStart(File,Collection<T>)",1,1,12,4,1
"org.apache.commons.io.DirectoryWalker.walk(File,Collection<T>)",2,2,27,112,3
"org.apache.commons.io.DirectoryWalker.walk(File,int,Collection<T>)",1,7,35,432,8
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.TestCancelWalker(String,boolean)",1,1,5,26,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.find(File)",1,1,6,22,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleCancelled(File,Collection<File>,CancelException)",1,2,8,38,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleDirectoryEnd(File,int,Collection<File>)",2,1,8,60,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleFile(File,int,Collection<File>)",2,1,8,60,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFalseFileFinder.TestFalseFileFinder(FileFilter,int)",1,1,3,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFalseFileFinder.handleDirectory(File,int,Collection<File>)",1,1,5,11,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.TestFileFinder(FileFilter,int)",1,1,3,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.TestFileFinder(IOFileFilter,IOFileFilter,int)",1,1,3,19,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.find(File)",1,2,10,41,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.handleDirectoryEnd(File,int,Collection<File>)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.handleFile(File,int,Collection<File>)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.TestFileFinderString(FileFilter,int)",1,1,3,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.find(File)",1,2,10,41,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.handleFile(File,int,Collection<String>)",1,1,5,19,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.TestMultiThreadCancelWalker(String,boolean)",1,1,5,26,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.find(File)",1,1,6,25,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleCancelled(File,Collection<File>,CancelException)",1,2,8,38,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleDirectoryEnd(File,int,Collection<File>)",1,1,9,60,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleFile(File,int,Collection<File>)",1,1,9,60,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleIsCancelled(File,int,Collection<File>)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCase.checkContainsFiles(String,File[],Collection<File>)",1,2,8,88,2
"org.apache.commons.io.DirectoryWalkerTestCase.checkContainsString(String,File[],Collection<String>)",1,2,5,94,2
"org.apache.commons.io.DirectoryWalkerTestCase.createNameFilter(File[])",1,2,11,83,2
"org.apache.commons.io.DirectoryWalkerTestCase.directoriesOnly(Collection<File>)",1,3,12,48,3
"org.apache.commons.io.DirectoryWalkerTestCase.filesOnly(Collection<File>)",1,3,12,48,3
"org.apache.commons.io.DirectoryWalkerTestCase.testCancel()",1,6,37,498,6
"org.apache.commons.io.DirectoryWalkerTestCase.testFilter()",1,1,12,169,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitA()",1,1,9,66,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitB()",1,1,10,89,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitC()",1,1,12,140,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitD()",1,1,11,129,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile1()",1,1,11,142,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile2()",1,1,11,144,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile3()",1,1,11,128,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile4()",1,1,11,115,1
"org.apache.commons.io.DirectoryWalkerTestCase.testFilterString()",1,1,10,108,1
"org.apache.commons.io.DirectoryWalkerTestCase.testHandleStartDirectoryFalse()",1,1,8,48,1
"org.apache.commons.io.DirectoryWalkerTestCase.testLimitToCurrent()",1,1,9,72,1
"org.apache.commons.io.DirectoryWalkerTestCase.testMissingStartDirectory()",1,1,17,131,2
"org.apache.commons.io.DirectoryWalkerTestCase.testMultiThreadCancel()",1,6,40,546,6
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.DirectoryWalkerTestCaseJava4(String)",1,1,4,8,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.TestCancelWalker(String,boolean)",1,1,5,26,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.find(File)",1,1,6,22,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleCancelled(File,Collection,CancelException)",1,2,8,38,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleDirectoryEnd(File,int,Collection)",2,1,8,60,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleFile(File,int,Collection)",2,1,8,60,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder.TestFalseFileFinder(FileFilter,int)",1,1,3,15,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder.handleDirectory(File,int,Collection)",1,1,5,11,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.TestFileFinder(FileFilter,int)",1,1,3,15,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.TestFileFinder(IOFileFilter,IOFileFilter,int)",1,1,3,19,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.find(File)",1,2,10,41,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.handleDirectoryEnd(File,int,Collection)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.handleFile(File,int,Collection)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.TestMultiThreadCancelWalker(String,boolean)",1,1,5,26,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.find(File)",1,1,6,25,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleCancelled(File,Collection,CancelException)",1,2,8,38,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleDirectoryEnd(File,int,Collection)",1,1,9,60,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleFile(File,int,Collection)",1,1,9,60,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleIsCancelled(File,int,Collection)",1,1,5,15,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.checkContainsFiles(String,File[],Collection)",1,2,8,88,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.createNameFilter(File[])",1,2,11,83,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.directoriesOnly(Collection)",1,3,13,74,3
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.filesOnly(Collection)",1,3,13,74,3
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.setUp()",1,1,5,11,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.tearDown()",1,1,5,11,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testCancel()",1,6,36,498,6
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilter()",1,1,11,169,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitA()",1,1,8,66,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitB()",1,1,9,89,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitC()",1,1,11,140,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterAndLimitD()",1,1,10,129,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile1()",1,1,10,142,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile2()",1,1,10,144,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile3()",1,1,10,128,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testFilterDirAndFile4()",1,1,10,115,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testHandleStartDirectoryFalse()",1,1,7,48,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testLimitToCurrent()",1,1,8,72,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testMissingStartDirectory()",1,1,16,131,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.testMultiThreadCancel()",1,6,39,546,6
"org.apache.commons.io.EndianUtils.EndianUtils()",1,1,6,4,1
"org.apache.commons.io.EndianUtils.read(InputStream)",2,1,15,66,2
"org.apache.commons.io.EndianUtils.readSwappedDouble(InputStream)",1,1,12,24,1
"org.apache.commons.io.EndianUtils.readSwappedDouble(byte[],int)",1,1,10,33,1
"org.apache.commons.io.EndianUtils.readSwappedFloat(InputStream)",1,1,12,24,1
"org.apache.commons.io.EndianUtils.readSwappedFloat(byte[],int)",1,1,10,33,1
"org.apache.commons.io.EndianUtils.readSwappedInteger(InputStream)",1,1,19,154,1
"org.apache.commons.io.EndianUtils.readSwappedInteger(byte[],int)",1,1,13,158,1
"org.apache.commons.io.EndianUtils.readSwappedLong(InputStream)",1,2,16,104,2
"org.apache.commons.io.EndianUtils.readSwappedLong(byte[],int)",1,1,20,375,1
"org.apache.commons.io.EndianUtils.readSwappedShort(InputStream)",1,1,13,70,1
"org.apache.commons.io.EndianUtils.readSwappedShort(byte[],int)",1,1,11,93,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedInteger(InputStream)",1,1,20,199,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedInteger(byte[],int)",1,1,15,200,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedShort(InputStream)",1,1,15,85,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedShort(byte[],int)",1,1,12,87,1
"org.apache.commons.io.EndianUtils.swapDouble(double)",1,1,8,26,1
"org.apache.commons.io.EndianUtils.swapFloat(float)",1,1,8,26,1
"org.apache.commons.io.EndianUtils.swapInteger(int)",1,1,12,122,1
"org.apache.commons.io.EndianUtils.swapLong(long)",1,1,16,249,1
"org.apache.commons.io.EndianUtils.swapShort(short)",1,1,9,75,1
"org.apache.commons.io.EndianUtils.writeSwappedDouble(OutputStream,double)",1,1,12,28,1
"org.apache.commons.io.EndianUtils.writeSwappedDouble(byte[],int,double)",1,1,10,38,1
"org.apache.commons.io.EndianUtils.writeSwappedFloat(OutputStream,float)",1,1,12,28,1
"org.apache.commons.io.EndianUtils.writeSwappedFloat(byte[],int,float)",1,1,10,38,1
"org.apache.commons.io.EndianUtils.writeSwappedInteger(OutputStream,int)",1,1,15,148,1
"org.apache.commons.io.EndianUtils.writeSwappedInteger(byte[],int,int)",1,1,13,195,1
"org.apache.commons.io.EndianUtils.writeSwappedLong(OutputStream,long)",1,1,19,298,1
"org.apache.commons.io.EndianUtils.writeSwappedLong(byte[],int,long)",1,1,17,413,1
"org.apache.commons.io.EndianUtils.writeSwappedShort(OutputStream,short)",1,1,13,79,1
"org.apache.commons.io.EndianUtils.writeSwappedShort(byte[],int,short)",1,1,11,104,1
"org.apache.commons.io.EndianUtilsTest.EndianUtilsTest(String)",1,1,3,8,1
"org.apache.commons.io.EndianUtilsTest.testCtor()",1,1,4,4,1
"org.apache.commons.io.EndianUtilsTest.testEOFException()",1,1,9,41,2
"org.apache.commons.io.EndianUtilsTest.testReadSwappedDouble()",1,1,8,148,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedFloat()",1,1,8,122,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedInteger()",1,1,6,84,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedLong()",1,1,6,108,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedShort()",1,1,6,72,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedUnsignedInteger()",1,1,6,84,1
"org.apache.commons.io.EndianUtilsTest.testReadSwappedUnsignedShort()",1,1,6,72,1
"org.apache.commons.io.EndianUtilsTest.testSwapDouble()",1,1,6,62,1
"org.apache.commons.io.EndianUtilsTest.testSwapFloat()",1,1,6,64,1
"org.apache.commons.io.EndianUtilsTest.testSwapInteger()",1,1,9,114,1
"org.apache.commons.io.EndianUtilsTest.testSwapLong()",1,1,6,59,1
"org.apache.commons.io.EndianUtilsTest.testSwapShort()",1,1,6,82,1
"org.apache.commons.io.EndianUtilsTest.testSymmetry()",1,1,13,164,1
"org.apache.commons.io.EndianUtilsTest.testSymmetryOfLong()",1,2,17,230,2
"org.apache.commons.io.EndianUtilsTest.testUnsignedOverrun()",1,1,10,125,1
"org.apache.commons.io.EndianUtilsTest.testWriteSwappedDouble()",1,1,24,430,1
"org.apache.commons.io.EndianUtilsTest.testWriteSwappedFloat()",1,1,16,247,1
"org.apache.commons.io.EndianUtilsTest.testWriteSwappedInteger()",1,1,15,224,1
"org.apache.commons.io.EndianUtilsTest.testWriteSwappedLong()",1,1,23,403,1
"org.apache.commons.io.EndianUtilsTest.testWriteSwappedShort()",1,1,11,154,1
"org.apache.commons.io.FileCleaner.exitWhenFinished()",1,1,26,15,1
"org.apache.commons.io.FileCleaner.getInstance()",1,1,11,8,1
"org.apache.commons.io.FileCleaner.getTrackCount()",1,1,11,15,1
"org.apache.commons.io.FileCleaner.track(File,Object)",1,1,14,19,1
"org.apache.commons.io.FileCleaner.track(File,Object,FileDeleteStrategy)",1,1,15,24,1
"org.apache.commons.io.FileCleaner.track(String,Object)",1,1,14,19,1
"org.apache.commons.io.FileCleaner.track(String,Object,FileDeleteStrategy)",1,1,15,24,1
"org.apache.commons.io.FileCleanerTestCase.FileCleanerTestCase(String)",1,1,3,8,1
"org.apache.commons.io.FileCleanerTestCase.newInstance()",1,1,4,4,1
"org.apache.commons.io.FileCleaningTracker.Reaper.Reaper()",1,1,6,19,1
"org.apache.commons.io.FileCleaningTracker.Reaper.run()",2,4,21,134,5
"org.apache.commons.io.FileCleaningTracker.Tracker.Tracker(String,FileDeleteStrategy,Object,ReferenceQueue<? super Object>)",1,1,13,53,2
"org.apache.commons.io.FileCleaningTracker.Tracker.delete()",1,1,9,19,1
"org.apache.commons.io.FileCleaningTracker.Tracker.getPath()",1,1,8,4,1
"org.apache.commons.io.FileCleaningTracker.addTracker(String,Object,FileDeleteStrategy)",2,2,18,95,3
"org.apache.commons.io.FileCleaningTracker.exitWhenFinished()",1,2,30,43,2
"org.apache.commons.io.FileCleaningTracker.getDeleteFailures()",1,1,9,4,1
"org.apache.commons.io.FileCleaningTracker.getTrackCount()",1,1,9,11,1
"org.apache.commons.io.FileCleaningTracker.track(File,Object)",1,1,12,15,1
"org.apache.commons.io.FileCleaningTracker.track(File,Object,FileDeleteStrategy)",2,1,16,51,2
"org.apache.commons.io.FileCleaningTracker.track(String,Object)",1,1,12,15,1
"org.apache.commons.io.FileCleaningTracker.track(String,Object,FileDeleteStrategy)",2,1,16,46,2
"org.apache.commons.io.FileCleaningTrackerTestCase.FileCleaningTrackerTestCase(String)",1,1,4,24,1
"org.apache.commons.io.FileCleaningTrackerTestCase.newInstance()",1,1,3,4,1
"org.apache.commons.io.FileCleaningTrackerTestCase.pauseForDeleteToComplete(File)",1,3,11,83,4
"org.apache.commons.io.FileCleaningTrackerTestCase.setUp()",1,1,6,19,1
"org.apache.commons.io.FileCleaningTrackerTestCase.showFailures()",2,2,7,85,2
"org.apache.commons.io.FileCleaningTrackerTestCase.tearDown()",1,1,20,88,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerDirectory()",1,1,14,168,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerDirectory_ForceStrategy()",1,1,15,230,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerDirectory_NullStrategy()",1,1,14,172,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerExitWhenFinished1()",1,1,24,512,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerExitWhenFinished2()",1,3,27,451,3
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerExitWhenFinishedFirst()",1,1,10,105,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerExitWhenFinished_NoTrackAfter()",1,1,16,138,2
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerFile()",1,1,17,213,1
"org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerNull()",1,1,26,125,5
"org.apache.commons.io.FileCleaningTrackerTestCase.waitUntilTrackCount()",2,4,21,232,6
"org.apache.commons.io.FileDeleteStrategy.FileDeleteStrategy(String)",1,1,8,8,1
"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy.ForceFileDeleteStrategy()",1,1,4,4,1
"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy.doDelete(File)",1,1,16,19,1
"org.apache.commons.io.FileDeleteStrategy.delete(File)",2,2,15,60,3
"org.apache.commons.io.FileDeleteStrategy.deleteQuietly(File)",2,2,20,76,4
"org.apache.commons.io.FileDeleteStrategy.doDelete(File)",1,1,19,15,1
"org.apache.commons.io.FileDeleteStrategy.toString()",1,1,9,11,1
"org.apache.commons.io.FileDeleteStrategyTestCase.FileDeleteStrategyTestCase(String)",1,1,3,8,1
"org.apache.commons.io.FileDeleteStrategyTestCase.setUp()",1,1,4,11,1
"org.apache.commons.io.FileDeleteStrategyTestCase.tearDown()",1,1,4,11,1
"org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteForce()",1,1,16,154,1
"org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteNormal()",1,1,29,241,2
"org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteNull()",1,1,9,44,2
"org.apache.commons.io.FileDeleteStrategyTestCase.testDeleteQuietlyNormal()",1,1,23,233,1
"org.apache.commons.io.FileDeleteStrategyTestCase.testToString()",1,1,4,30,1
"org.apache.commons.io.FileExistsException.FileExistsException()",1,1,6,4,1
"org.apache.commons.io.FileExistsException.FileExistsException(File)",1,1,8,15,1
"org.apache.commons.io.FileExistsException.FileExistsException(String)",1,1,8,8,1
"org.apache.commons.io.FileSystemUtils.FileSystemUtils()",1,1,6,4,1
"org.apache.commons.io.FileSystemUtils.freeSpace(String)",1,1,30,43,1
"org.apache.commons.io.FileSystemUtils.freeSpaceKb()",1,1,15,24,1
"org.apache.commons.io.FileSystemUtils.freeSpaceKb(String)",1,1,27,28,1
"org.apache.commons.io.FileSystemUtils.freeSpaceKb(String,long)",1,1,29,41,1
"org.apache.commons.io.FileSystemUtils.freeSpaceKb(long)",1,1,17,36,1
"org.apache.commons.io.FileSystemUtils.freeSpaceOS(String,int,boolean,long)",7,6,38,250,8
"org.apache.commons.io.FileSystemUtils.freeSpaceUnix(String,boolean,boolean,long)",5,4,54,564,9
"org.apache.commons.io.FileSystemUtils.freeSpaceWindows(String,long)",3,4,33,324,5
"org.apache.commons.io.FileSystemUtils.openProcess(String[])",1,1,10,11,1
"org.apache.commons.io.FileSystemUtils.parseBytes(String,String)",2,1,23,131,3
"org.apache.commons.io.FileSystemUtils.parseDir(String,String)",6,8,50,543,11
"org.apache.commons.io.FileSystemUtils.performCommand(String[],int,long)",3,7,66,601,7
"org.apache.commons.io.FileSystemUtilsTestCase.FileSystemUtilsTestCase(String)",1,1,3,8,1
"org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils.MockFileSystemUtils(int,String)",1,1,3,19,1
"org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils.MockFileSystemUtils(int,String,String)",1,1,5,39,1
"org.apache.commons.io.FileSystemUtilsTestCase.MockFileSystemUtils.openProcess(String[])",1,2,3,138,2
